2023-05-26 00:42:25.500 [main] INFO  c.e.c.CertificateBackApplication - Starting CertificateBackApplication using Java 1.8.0_281 on DESKTOP-65DUH4R with PID 20252 (C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back\target\classes started by User in C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back)
2023-05-26 00:42:29.559 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.css', GET]
2023-05-26 00:42:29.559 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.js', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.559 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.js', GET]
2023-05-26 00:42:29.741 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-8081"]
2023-05-26 00:42:29.789 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (https) with context path ''
2023-05-26 00:42:29.802 [main] INFO  c.e.c.CertificateBackApplication - Started CertificateBackApplication in 4.766 seconds (JVM running for 5.764)
2023-05-26 00:42:37.921 [https-jsse-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 00:42:37.921 [https-jsse-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 00:42:37.923 [https-jsse-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-26 00:42:38.194 [https-jsse-nio-8081-exec-2] INFO  c.e.c.c.CertificateController - Checking certificate validation by serial number.
2023-05-26 00:42:38.202 [https-jsse-nio-8081-exec-2] INFO  c.e.c.s.i.CertificateService - Validation by serial number result returned.
2023-05-26 00:43:28.730 [https-jsse-nio-8081-exec-4] INFO  c.e.c.c.CertificateController - Checking certificate validation by serial number.
2023-05-26 00:43:28.734 [https-jsse-nio-8081-exec-4] INFO  c.e.c.s.i.CertificateService - Validation by serial number result returned.
2023-05-26 00:43:40.874 [https-jsse-nio-8081-exec-9] INFO  c.e.c.c.CertificateController - Checking certificate validation by serial number.
2023-05-26 00:43:40.878 [https-jsse-nio-8081-exec-9] INFO  c.e.c.s.i.CertificateService - Validation by serial number result returned.
2023-05-26 00:43:44.356 [https-jsse-nio-8081-exec-10] INFO  c.e.c.c.CertificateController - Checking certificate validation by serial number.
2023-05-26 00:43:44.360 [https-jsse-nio-8081-exec-10] INFO  c.e.c.s.i.CertificateService - Validation by serial number result returned.
2023-05-26 00:43:55.264 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-26 00:43:55.266 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-26 00:43:55.272 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-05-26 00:50:41.036 [main] INFO  c.e.c.CertificateBackApplication - Starting CertificateBackApplication using Java 1.8.0_281 on DESKTOP-65DUH4R with PID 9008 (C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back\target\classes started by User in C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back)
2023-05-26 00:50:41.041 [main] INFO  c.e.c.CertificateBackApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 00:50:41.746 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-26 00:50:41.815 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 7 JPA repository interfaces.
2023-05-26 00:50:42.265 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (https)
2023-05-26 00:50:42.270 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-8081"]
2023-05-26 00:50:42.271 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 00:50:42.271 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-05-26 00:50:42.416 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 00:50:42.416 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1317 ms
2023-05-26 00:50:42.490 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-26 00:50:43.034 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-26 00:50:43.113 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-26 00:50:43.142 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.12.Final
2023-05-26 00:50:43.280 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-05-26 00:50:43.356 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-05-26 00:50:43.962 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-26 00:50:43.968 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-26 00:50:44.578 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-26 00:50:45.091 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1c58d7be, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@61b8c9de, org.springframework.security.web.context.SecurityContextPersistenceFilter@32d22650, org.springframework.security.web.header.HeaderWriterFilter@7b8b07ae, org.springframework.web.filter.CorsFilter@b34c7c9, org.springframework.security.web.authentication.logout.LogoutFilter@11f3400c, com.example.certificateback.security.TokenAuthenticationFilter@5b490d5e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f6fd101, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@33a71d23, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1f6c4ae, org.springframework.security.web.session.SessionManagementFilter@77856cc5, org.springframework.security.web.access.ExceptionTranslationFilter@566f4659, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7742a276]
2023-05-26 00:50:45.096 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='api/login', POST]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.097 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='api/login', POST]
2023-05-26 00:50:45.097 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='api/user/register', POST]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.097 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='api/user/register', POST]
2023-05-26 00:50:45.097 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.097 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/', GET]
2023-05-26 00:50:45.098 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/webjars/**', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.098 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/webjars/**', GET]
2023-05-26 00:50:45.098 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/*.html', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.098 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/*.html', GET]
2023-05-26 00:50:45.098 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='favicon.ico', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.098 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='favicon.ico', GET]
2023-05-26 00:50:45.098 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.html', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.098 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.html', GET]
2023-05-26 00:50:45.098 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.css', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.098 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.css', GET]
2023-05-26 00:50:45.099 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.js', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:50:45.099 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.js', GET]
2023-05-26 00:50:45.415 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-8081"]
2023-05-26 00:50:45.471 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (https) with context path ''
2023-05-26 00:50:45.483 [main] INFO  c.e.c.CertificateBackApplication - Started CertificateBackApplication in 4.891 seconds (JVM running for 5.908)
2023-05-26 00:50:51.707 [https-jsse-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 00:50:51.708 [https-jsse-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 00:50:51.709 [https-jsse-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-26 00:50:52.062 [https-jsse-nio-8081-exec-1] INFO  c.e.c.c.CertificateController - Checking certificate validation by serial number.
2023-05-26 00:50:52.074 [https-jsse-nio-8081-exec-1] INFO  c.e.c.s.i.CertificateService - Validation by serial number result returned.
2023-05-26 00:51:38.710 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-26 00:51:38.712 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-26 00:51:38.717 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-05-26 00:55:12.683 [main] INFO  c.e.c.CertificateBackApplication - Starting CertificateBackApplication using Java 1.8.0_281 on DESKTOP-65DUH4R with PID 3472 (C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back\target\classes started by User in C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back)
2023-05-26 00:55:12.688 [main] INFO  c.e.c.CertificateBackApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 00:55:13.698 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-26 00:55:13.792 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 84 ms. Found 7 JPA repository interfaces.
2023-05-26 00:55:14.417 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (https)
2023-05-26 00:55:14.426 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-8081"]
2023-05-26 00:55:14.427 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 00:55:14.427 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-05-26 00:55:14.636 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 00:55:14.636 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1877 ms
2023-05-26 00:55:14.722 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-26 00:55:15.320 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-26 00:55:15.434 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-26 00:55:15.504 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.12.Final
2023-05-26 00:55:15.680 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-05-26 00:55:15.795 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-05-26 00:55:16.549 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-26 00:55:16.558 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-26 00:55:17.223 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-26 00:55:17.671 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@b34c7c9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b490d5e, org.springframework.security.web.context.SecurityContextPersistenceFilter@4f6fd101, org.springframework.security.web.header.HeaderWriterFilter@351d93bd, org.springframework.web.filter.CorsFilter@1f6c4ae, org.springframework.security.web.authentication.logout.LogoutFilter@2558f65c, com.example.certificateback.security.TokenAuthenticationFilter@26270b77, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@33a71d23, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12166229, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@b808af5, org.springframework.security.web.session.SessionManagementFilter@32d22650, org.springframework.security.web.access.ExceptionTranslationFilter@7b8b07ae, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@35b3c1f6]
2023-05-26 00:55:17.675 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='api/login', POST]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.675 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='api/login', POST]
2023-05-26 00:55:17.675 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='api/user/register', POST]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.675 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='api/user/register', POST]
2023-05-26 00:55:17.675 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.676 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/', GET]
2023-05-26 00:55:17.676 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/webjars/**', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.676 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/webjars/**', GET]
2023-05-26 00:55:17.676 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/*.html', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.676 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/*.html', GET]
2023-05-26 00:55:17.676 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='favicon.ico', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.676 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='favicon.ico', GET]
2023-05-26 00:55:17.676 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.html', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.676 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.html', GET]
2023-05-26 00:55:17.676 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.css', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.677 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.css', GET]
2023-05-26 00:55:17.677 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.js', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:55:17.677 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.js', GET]
2023-05-26 00:55:17.912 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-8081"]
2023-05-26 00:55:17.970 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (https) with context path ''
2023-05-26 00:55:17.981 [main] INFO  c.e.c.CertificateBackApplication - Started CertificateBackApplication in 5.735 seconds (JVM running for 6.866)
2023-05-26 00:55:21.553 [https-jsse-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 00:55:21.553 [https-jsse-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 00:55:21.555 [https-jsse-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-05-26 00:55:21.831 [https-jsse-nio-8081-exec-1] INFO  c.e.c.s.i.CertificateService - User is trying to revoke a certificate.
2023-05-26 00:55:21.842 [https-jsse-nio-8081-exec-1] ERROR c.e.c.s.i.CertificateService - Bad request. User is not owner or the certificate is not valid.
2023-05-26 00:55:36.184 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-26 00:55:36.187 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-26 00:55:36.192 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-06-15 17:51:34.241 [main] INFO  c.e.c.CertificateBackApplication - Starting CertificateBackApplication using Java 1.8.0_281 on DESKTOP-65DUH4R with PID 19552 (C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back\target\classes started by User in C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back)
2023-06-15 17:51:34.247 [main] INFO  c.e.c.CertificateBackApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-15 17:51:35.138 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
